"<ID>";"N0 lieu source de N1";"N0 lieu de destination de N1";"N1 V W";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N0 dé-V N1 Loc N3 nv-dest";"N1 être V-n";"N0 V N2 (E+de N1)";"Loc N2 =: dans N2";"Loc N2 =: sur N2";"Loc N2 =: contre N2";"Loc N2 =: à N2";"Loc N2 =: vers N2";"Loc N2 = Ppv =: y";"N2 être V-n";"N1 être Vpp (statique)";"N1 =: Nconc métaphore";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"N1 =: Qu P métaphore";"N1 être V-n (forme V-n)";"N2 être V-n (forme V-n)";"<OPT>"
"1";"~";"~";"~";"~";"<E>";"attraper";"+";"-";"~";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Paul a attrapé un lapin dans son piège"
"2";"-";"-";"+";"-";"<E>";"baguenauder";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"<E>";"<E>";"Max a baguenauder Léa dans toute la ville"
"3";"-";"-";"-";"-";"<E>";"balader";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"-";"+";"-";"-";"~";"~";"Max balade son chien dans le parc"
"4";"~";"~";"~";"~";"<E>";"barricader";"+";"-";"+";"~";"~";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"On a barricadé Paul dans sa chambre"
"5";"-";"-";"-";"-";"<E>";"bercer";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"<E>";"berceau";"Mémé berce le bébé dans le berceau"
"6";"-";"-";"+";"-";"<E>";"bivouaquer";"+";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"<E>";"bivouac";"Le général bivouaque mes troupes dans la plaine"
"7";"-";"-";"-";"-";"<E>";"border";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max borde Ida dans son lit"
"8";"-";"-";"-";"+";"<E>";"boucler";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"-";"-";"+";"-";"<E>";"<E>";"Max a bouclé Léa dans sa chambre"
"9";"-";"-";"+";"-";"<E>";"brûler";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"<E>";"<E>";"On a brûlé Jeanne sur la place"
"10";"-";"-";"-";"-";"<E>";"cadenasser";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max a cadenassé Luc dans sa chambre"
