"<ID>";"N1 V Loc N2";"N2 V N1";"<ENT>Ppv";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 dé-V N1 Prép N2 source";"N1 =: Nhum";"N0 V N0pc W";"N0 V N0pc W";"N1 =: N-hum";"N1 être V-n";"Loc N2 =: de N2 source";"Loc N2 =: de N2 destination";"Loc N2 =: dans N2 destination";"Loc N2 =: sur N2 destination";"Loc N2 =: contre N2 destination";"Loc N2 =: à N2 destination";"N2 =: Nhum";"de combien ?";"N1 V N2";"il y avoir V-n entre N1 et N2";"V-n attache";"N0 V N1 de N3 attache";"N0 V N1";"N3 attache V N1";"V-n résultat";"N0 V N résultat";"N0 V N1 + 2";"N0 V N2 (E+de N1)";"Loc N2 =: à Nhum";"à Nhum =: Loc Npc";"N1 =: mot, N2 =: texte";"N1 =: idée, N2 =: esprit";"N0 V N1abs Loc N2abs";"N0 V N1hum Loc N2abs";"Prép2 =: avec";"Prép2 =: d'avec";"N1 être V-n (forme V-n)";"il y avoir V-n entre N1 et N2 (forme V-n)";"V-n résultat (forme V-n)";"V-n attache (forme V-n)";"<OPT>"
"1";"-";"-";"<E>";"aboucher";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"bouchon";"<E>";"<E>";"<E>";"Max a abouché les tuyaux"
"2";"-";"-";"<E>";"abouter";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"bout";"<E>";"<E>";"<E>";"Max a abouté ce tuyau à celui-là"
"3";"-";"-";"<E>";"accoler";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"J' ai accolé cette page(à+avec)celle-là"
"4";"-";"-";"<E>";"accoter";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"?";"<E>";"<E>";"<E>";"Max a eu tort d' accoter ces deux armoires de styles différents"
"6";"+";"+";"<E>";"accrocher";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"crochet";"Jo a accroché son manteau à la patère"
"7";"-";"-";"<E>";"adapter";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a adapté le bouchon à l'ouverture"
"8";"-";"-";"<E>";"adosser";"+";"-";"+";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"dos";"<E>";"<E>";"<E>";"On a adossé Luc à Léa"
"9";"-";"-";"<E>";"agrafer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"+";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"<E>";"agrafe";"Max agrafe le papier(et+à+avec)le carton|à l'aide d'une agrafe|"
"11";"-";"-";"<E>";"aligner";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"<E>";"<E>";"alignement";"<E>";"Max aligne les poireaux(sur+avec+et)les salades"
"12";"-";"-";"<E>";"amarrer";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"amarre";"<E>";"amarre";"Max amarre son bateau au quai"
"13";"+";"-";"<E>";"approcher";"+";"-";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max approche la bouteille du verre"
"14";"-";"-";"<E>";"arrimer";"+";"-";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"<E>";"<E>";"<E>";"<E>";"Max a arrimé le cargo dans la cale"
