"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"[extrap]";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 être V-ant";"N0 V";"N0 être Vpp W";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"à N1 =: à ce Qu P = là";"à N1 = Ppv =: le";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N0 V contre Nhum";"<OPT>";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"1";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"abandonner";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"Max s'abandonne à lâcher des confidences"
"2";"+";"+";"+";"-";"-";"<E>";"-";"-";"-";"accéder";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"Max a accédé à présider le groupe"
"3";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"acharner";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"Max s'acharne à travailler"
"4";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"acquiescer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul acquiesce à ce que Marie vienne"
"5";"+";"+";"+";"-";"-";"<E>";"-";"-";"-";"adhérer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max adhère à ce qu'on regroupe les trois ateliers"
"6";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"adonner";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Paul s'adonne à lire des romans policiers"
"7";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"affairer";"-";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max s'affaire à ce que tout soit en ordre"
"8";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"agréer";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"+";"-";"L'administration a agrée à ce que ce compromis soit signé"
"9";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"aimer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Max aime à regarder la lune"
"10";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"amuser";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max s'amuse à ce que tous ses amis soient en désaccord"
"11";"~";"~";"~";"~";"~";"ne s'";"+";"-";"+";"amuser";"+";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Il ne devrait pas s'amuser à interdire ça"
"12";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"applaudir";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max applaudit à ce que ses amis viennent"
"13";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"apprendre";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"Max apprend à lire"
"14";"+";"-";"-";"-";"-";"ne s'";"+";"-";"+";"arrêter";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"Max ne s'arrête pas à ce que Luc l'a engueulé"
"15";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"arriver";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max est arrivé à ce que tout soit nettoyé"
"16";"+";"-";"-";"-";"-";"en";"-";"+";"-";"arriver";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"-";"-";"Max en est arrivé à ce que Luc se fâche"
"17";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"aspirer";"-";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max aspire à ce que tout rentre dans l'ordre"
"18";"+";"-";"-";"-";"-";"s'";"+";"-";"-";"attendre";"-";"-";"+";"-";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"-";"-";"-";"+";"-";"+";"-";"-";"Max s'attend à ce qu'Ida parte"
"19";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"aviser";"-";"+";"-";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"-";"Max avisera à ce que Luc travaille"
"20";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"balancer";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"-";"Max balance à se rendre à la réunion"
"21";"~";"~";"~";"~";"~";"<E>";"-";"-";"-";"besogner";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max besogne à résoudre ce problème"
"22";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bosser";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"Max bosse à résoudre cette question"
"23";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"boulonner";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"Max boulonne à ce que tout soit en ordre"
"24";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"bûcher";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"+";"+";"+";"Max bûche à ce que tout soit en ordre"
"25";"+";"-";"-";"-";"-";"se";"+";"-";"-";"buter";"-";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"+";"-";"+";"Max s'est buté à ce que personne ne l'écoutait"
"26";"~";"~";"~";"~";"~";"se";"+";"-";"-";"casser";"-";"-";"+";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Paul s'est cassé à obtenir un rendez-vous"
"27";"+";"-";"-";"-";"-";"<E>";"-";"-";"-";"céder";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"+";"+";"+";"+";"+";"-";"Max cède à ce qu'Ida parte"
