"<ID>";"N0 lieu de destination de N1";"N2 V N1";"N2 destination V N1";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"dé-V";"N1 =: Nhum";"N0 lui V N1pc W";"N0 V N1 sur N1pc";"N1 =: N-hum";"N1 être V-n";"N0 V N2";"N0 V N1 Loc N2 source Loc N3 destination";"N0 V N1 en N2";"N0 V N1 de N2 source";"N0 V N1 Loc N2 source, Loc # de";"Loc N3 =: dans N3 destination";"Loc N3 =: sur N3 destination";"Loc N3 =: contre N3 destination";"Loc N3 =: à N3 destination";"N3 être V-n";"N3 =: Npl obl";"Ppv =: y";"Ppv =: en";"N0 lui V N1 Loc N3pc";"N1 être Vpp W";"N1 =: mot, (N2+N3) =: texte";"N1 =: idée, (N2+N3) =: esprit";"N0 V N1hum Loc (N2abs+N3abs)";"N0 V N1abs Loc (N2abs+N3abs)";"N1 être V-n (forme V-n)";"N3 être V-n (forme V-n)";"<OPT>"
"1";"-";"-";"-";"<E>";"-";"accumuler";"-";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"-";"<E>";"<E>";"Paul accumule les données"
"2";"-";"-";"-";"<E>";"-";"additionner";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"<E>";"<E>";"Max additionne les erreurs"
"3";"~";"~";"~";"<E>";"-";"agencer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"<E>";"<E>";"Max a agencé les feuilles rouges sur les bleus"
"4";"-";"-";"-";"<E>";"-";"alphabétiser";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"<E>";"<E>";"Max alphabétise ses fiches"
"5";"+";"-";"-";"<E>";"-";"amasser";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"<E>";"amas";"Max amasse les feuilles en petits tas"
"6";"-";"-";"-";"<E>";"-";"amonceler";"-";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"-";"-";"<E>";"monceau";"Le vent a amoncelé les feuilles dans le coin"
"7";"-";"-";"-";"<E>";"-";"assembler";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"<E>";"<E>";"Le roi a assemblé les délégués"
"8";"-";"+";"-";"<E>";"-";"assortir";"-";"+";"-";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"-";"-";"<E>";"assortiment";"Max a assorti (plusieurs fleurs+un tas de bonbons)"
"9";"-";"-";"-";"<E>";"-";"attrouper";"-";"+";"-";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"-";"<E>";"troupe";"Le maître a attroupé les gosses dans la cour"
"10";"-";"+";"+";"<E>";"-";"bloquer";"-";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"<E>";"?";"Max a bloqué les interventions sur une heure"
