VerbNet,LADL,LVF,Paragon,Commentaires
9.1: put-9.1,38-LD,L3b,mettre,programmer n'est pas locatif et ne nous intéresse pas
9.2: put_spatial-9.2,38-LD ou 36SL,L3b,pendre,
9.3: funnel-9.3,38LD,L3b,-?,Entonner ? Embouteiller ? Encuver ? mix entre enfoncer 01/06/11 dans le LVF
9.4: put_direction-9.4,38LD,L3b,monter ?,38-L double locatif – il y a bien les sens « soulever » et « lâcher/laisser tomber » en anglais
9.5: pour-9.5,38-LD,L3b,verser,
9.6: coil-9.6,38-LD ou 36SL,L3b,enrouler,
9.7: spray-9.7,37M[23456] et 38LD,L3b ou L4b ou E3f,charger,standard/croisé – à la fois entasser et asperger de l'eau ou de la peinture
9.8: fill-9.8,37M[234],N3c,remplir,diverses sous-classes ignorées en anglais
9.9: butter-9.9,37-M5 ou 37M6,N3c,beurrer,
9.10: pocket-9.10,-,-,-,"V=Vn (mettre en boîte, mettre en prison...)"
10.1: remove-10.1,37-E,E3c,enlever,
10.2: banish-10.2,38-LH ou 38LD ou 38LS,E1b ou E1e,extrader,
10.3: clear-10.3,37-E,N3d,nettoyer,Agent V theme locaton : source – plutôt vider que nettoyer ?
10.4.1: wipe_manner-10.4.1,37-E,R3g,vider,se vider – plutôt nettoyer ?
10.4.2: wipe_instr-10.4.2,37-E,R3g,éponger,"Paradoxalement, éponger 01 est lui dans E3c (faire sortir qc de lieu)"
10.5: steal-10.5,36-DT source,D2c,voler,Agent voler theme à source – N1b était proche
10.6: cheat-10.6,37-E,N1b ou N2b ou N3b ou N3d,soigner,déposséder
10.7: pit-10.7,-,-,-,"V=Vn SI ça existait, ce serait N3b"
10.8: debone-10.8,37-E,N1d ou N3b ou N1b,dégraisser ou épiler,Dégraisser donne N0 dé-V N 1 de Poss Vn et épiler donne N0 é-V N 1 de Poss Vn
10.9: mine-10.9,-,E3c,-,V=Vn deux verbes comme bring-11.3
10.10: fire-10.10,38-LH source,E2b,virer,
10.11: resign-10.11,35-R,E2a,démissionner,Agent + humain V de Source
11.1: send-11.1,36DT et 38L,E3f,envoyer,
11.2: slide-11.2,38-L,E3d,rouler,
11.3: bring-11.3,?,?,?,bring and take
11.4: carry-11.4,38-LD,E3f,porter,
11.5: drive-11.5,38-L,E3f,camionner,"Vn = transport,  brouetter différence avec carry-11.4, c'est que l'agent bouge ? Pourquoi “Amanda flew me the package” ?"
12: push-12,38-L,E3f,pousser,
13.1: give-13.1,36-DT dest,D2a,donner,
13.2: contribute-13.2,36-DT dest,D2a,distribuer,à merger avec 13-1 puisque pas de dative alternation en français
13.3: future_having-13.3,36-DT dest,D2a,offrir,à merger avec 13-1 puisque pas de dative alternation en français
13.4.1: fulfilling-13.4.1,36-DT et 37-M1,N1a,fournir,
13.4.2: equip-13.4.2,37-M1,N1a,équiper,N1humain  = Agent V Recipeint de Theme
13.5.1: get-13.5.1,36-DT dest,D2c,acheter,
13.5.2: obtain-13.5.2,36-DT dest,D2c,obtenir,Quelle différence entre get et obtain ? Les rôles manquants sont quand même dans obtain
13.5.3: hire-13.5.3,,S2b,engager,No V deux secrétaires (comme aides)
13.6: exchange-13.6,,T3f,échanger,N V N1 contre N2
13.7: berry-13.7,- ,-,-,V=Vn
14: learn-14,,P3c,,
15.1: hold-15.1,,S3a,agripper,
15.2: keep-15.2,38-LR,L3b,garder,
16: concealment-16,38-LR,L3b,cacher,NAgnet V Patient à Ida/Loc N2
17.1: throw-17.1,38-L et 38-LD,E3f.3,lancer,17.1-1-1 métaphorique
17.2: pelt-17.2,37-M4,N1c.5,bombarder,N2 = projectile
18.1: hit-18.1,36-SL,F3a.1,cogner,verbes de choc p 235
18.2: swat-18.2,,?,,
18.3: spank-18.3,,F1a.2,fouetter,“donner une fessée”
18.4: bump-18.4,,F1e,heurter,"Proche hit-18.1, pas d'agent en cause"
19: poke-19,,R3f.4,piquer,
20: touch-20,,F1f ou F3d,caresser,F1f correspond à la sous-classe +body_part
21.1: cut-21.1,,R3f.1 ou R3i,~trancher,
21.2: carve-21.2,,F3d.1 ou R3i.1 ou R3f.2 ou F3d.1,,"ne colle pas bien, j'ai fait un travail d'énumération"
22.1: mix-22.1,,,,"les mix-22.1, amalgamate-22.2 et shake 22.3 (qui doivent correspondent à la Table 36 S et parfois 32PL) se distinguent par la together alternation (d'après Levin)"
22.2: amalgamate-22.2,,,,
22.3: shake-22.3,,,,
22.4: tape-22.4,36-SL dest,U3a.1,scotcher,
22.5: cling-22.5,,F3d ou U2b,coller,"trop spécifique : soit “l'enfant se colle à sa mère”, soit “cette chemise lui colle à la peau”"
23.1: separate-23.1,36-SL source,U1c ou U2c ou U3d,séparer,
23.2: split-23.2,,,détacher,
23.3: disassemble-23.3,36-SL source,R3i.1,déchirer,N0 dé-V N1 de N2
23.4: differ-23.4,,U2c,diverger,
24: coloring-24,,N3a ou N3c,vernir,
25.1: image_impression-25.1,,R3f.5 ou N3a,graver,
25.2: scribble-25.2,,R3a.1,crayonner,
25.3: illustrate-25.3,,N3a.1,orner,
25.4: transcribe-25.4,,R3a ou R4a,reproduire,
26.1: build-26.1,32A,R3f ou R3a ou R3c,construire,
26.2: grow-26.2,31R,M3[ac] ou T3a ou H3a,éclore,intransitifs en français
26.3: preparing-26.3,32A ou 38LR ,R3a ou R3c,"préparer, pocher",sous-classe pour bouillir qui est intransitif
26.4: create-26.4,32A,R3a,créer,
26.5: knead-26.5,32A ou 32C,R3a ou R4a,pétrir,
26.6.1: turn-26.6.1,38R,T1,convertir,
26.6.2: convert-26.6.2,,E2d ou T2a ou T2b,convertir (religion),
26.7: performance-26.7,32A ou 32R2,R[34]a,"dessiner, chanter",C1b pour chanter
26.8: rehearse-26.8,,,répéter,
26.9: adjust-26.9,,,s'adapter,
27: engender-27,,,,
28: calve-28,31H,H1c,vêler,
29.1: appoint-29.1,39,E2d ou S2f,proclamer,
29.2: characterize-29.2,32H ou 38LHD,C3e ou C2c,"répudier, engager","pas une bonne classe, voir aussi imaginer 6 – différence entre caractériser quelqu'un et décrire quelque chose"
29.3: dub-29.3,39,N4a ou N2a,baptiser,
29.4: declare-29.4,39,C2d,déclarer,
29.5: conjecture-29.5,6,P3c,,pas une bonne classe en français
29.6: masquerade-29.6,,,,"pas une bonne classse en français, déguiser 38R transitif"
29.7: orphan-29.7,32H,,canoniser,en anglais V=N donc pas de traduction en français – autant de classes LVF que de verbes
29.8: captain-29.8,,,escorter,en anglais V=N donc pas de traduction en français sauf escorter : La brigade escorte le gnéral – autant de classes LVF que de verbes
29.9: consider-29.9,,P1g,,pas une bonne classe pour les frames – parfait sémantiquement
29.10: classify-29.10,32PL,R4a ou L2b,classifier,trier un ensemble ou cataloguer un élément
