"<ID>";"N0 =: Nhum";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V1c-inf W";"<ENT>Ppv";"Ppv =: se figé";"Ppv =: en figé";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"Prép1";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1 =: à Nq";"Prép N1 =: dans Nq";"Prép N1 =: de Nq";"Prép N1 = Ppv";"il V Prép N1 N0 =: il V Prép N1 Qu Pind";"il V Prép N1 N0 =: il V Prép N1 Qu Psubj";"il V Prép N1 N0 =: il V Prép N1 de V1-inf W";"il V Prép N1 N0 =: il V Prép N1 de V1c-inf W";"Tc =: passé";"Tc =: futur";"Vc =: devoir";"Vc =: pouvoir";"Vc =: savoir";"N1 V de ce Qu Pind";"<OPT>"
"1";"-";"-";"+";"-";"<E>";"-";"-";"-";"advenir";"-";"-";"+";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"-";"-";"Il est advenu à Max que Léa a divorcé"
"2";"+";"+";"+";"+";"<E>";"-";"-";"-";"agir";"-";"+";"-";"+";"sur";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"-";"+";"+";"+";"-";"Que Max l'ait grondé a agi sur Luc"
"3";"-";"+";"+";"-";"<E>";"-";"-";"-";"agréer";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Que Paul vienne agrée tout à fait à Max"
"4";"-";"+";"+";"+";"<E>";"-";"-";"-";"aller";"-";"-";"+";"-";"à";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Que tu viennes demain me va "
"5";"-";"+";"+";"+";"<E>";"-";"-";"-";"aller";"-";"-";"+";"-";"avec";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Que tu aies démissionné va avec cette loi"
"6";"-";"+";"-";"+";"<E>";"-";"-";"-";"apparaître";"-";"-";"+";"-";"Loc";"-";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max est fou apparaît dans ton rapport"
"7";"-";"-";"+";"-";"<E>";"-";"-";"-";"appartenir";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"-";"+";"-";"Qu'il fasse ce travail appartient à Max"
"8";"-";"-";"+";"-";"<E>";"-";"-";"-";"arriver";"-";"-";"+";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"Qu'on le prenne pour un autre arrive à Max"
"9";"-";"-";"-";"-";"<E>";"-";"-";"-";"atterrir";"-";"+";"+";"-";"sur";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"+";"+";"-";"+";"+";"-";"+";"-";"Faire cette corvée a atterri sur Max"
"10";"-";"+";"-";"+";"<E>";"-";"-";"-";"augurer Advm";"-";"-";"+";"+";"de";"+";"+";"-";"+";"+";"+";"+";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"Que Max soit parti augure mal de la suite"
"11";"-";"+";"+";"-";"<E>";"-";"-";"-";"bénéficier";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"Que Max parte bénéficie à Luc"
"12";"-";"+";"+";"-";"<E>";"-";"-";"-";"botter";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Que Luc vienne botte à Max"
"13";"-";"+";"-";"+";"<E>";"-";"-";"-";"cadrer";"-";"+";"-";"+";"avec";"+";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"-";"-";"+";"-";"Que Max parte cadre avec les plans de Luc"
"14";"+";"-";"+";"-";"<E>";"-";"-";"-";"chanter";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Qu'Ida vienne chante à Luc"
"15";"~";"~";"~";"~";"<E>";"-";"-";"-";"chatouiller";"-";"+";"-";"~";"<E>";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Aller en Crète chatouille Max"
"16";"~";"~";"~";"~";"<E>";"-";"-";"-";"cheminer";"-";"+";"-";"~";"dans";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Qu'Ida allait partir cheminait dans sa tête"
"17";"-";"+";"-";"-";"<E>";"-";"-";"-";"circuler";"-";"+";"-";"-";"sur";"+";"-";"+";"-";"-";"+";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max s'est enfui circule sur son compte"
"18";"-";"+";"-";"-";"<E>";"-";"-";"-";"coïncider";"-";"+";"-";"-";"avec";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"Que Max parte coïncide avec les plans de Luc"
"19";"-";"+";"-";"+";"<E>";"-";"-";"-";"coller";"-";"+";"-";"+";"avec";"-";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"-";"Que Max soit venu colle avec mes plans"
"20";"-";"+";"+";"-";"<E>";"-";"-";"-";"compter";"-";"+";"-";"+";"pour";"+";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Il compte pour Max que tout soit en ordre"
"21";"-";"+";"-";"-";"<E>";"-";"-";"-";"concorder";"-";"+";"-";"-";"avec";"-";"-";"+";"+";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"Que Jo vienne concorde avec les plans de Luc"
"22";"-";"+";"-";"-";"<E>";"-";"-";"-";"confiner";"-";"+";"-";"-";"à";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Que Max ait parlé confine à la bêtise"
"23";"-";"+";"-";"-";"<E>";"-";"-";"-";"contraster";"-";"+";"-";"+";"avec";"+";"-";"+";"+";"-";"-";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"Que Max parte contraste avec ton attitude"
"24";"-";"+";"+";"-";"<E>";"-";"-";"-";"convenir";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"-";"-";"+";"-";"Qu'Ida parte convient à Luc"
"25";"-";"+";"+";"-";"<E>";"-";"+";"-";"coûter";"-";"+";"-";"+";"à";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"-";"Faire ce genre de truc en coûte à Luc"
"26";"-";"-";"+";"-";"<E>";"-";"-";"-";"coûter";"-";"+";"-";"+";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"Faire ce genre de truc coûte à Luc"
"27";"-";"+";"+";"+";"en";"-";"+";"-";"coûter";"-";"+";"-";"-";"à";"+";"+";"+";"-";"-";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"Qu'Ida meure en coûte à Max"
"28";"-";"+";"-";"+";"<E>";"-";"-";"-";"croupir";"-";"+";"-";"-";"Loc";"-";"-";"+";"-";"-";"+";"-";"+";"+";"+";"-";"+";"+";"+";"+";"-";"-";"-";"Qu'Ida est en faute croupit dans sa mémoire"
"29";"-";"+";"+";"-";"en";"-";"+";"-";"cuire";"-";"+";"-";"-";"à";"+";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"Qu'Ida vienne en cuira à Max"
"30";"-";"-";"-";"-";"<E>";"-";"-";"-";"dater";"-";"+";"-";"+";"de";"-";"-";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"-";"-";"-";"Qu'Ida ait joué date d'il y a dix ans"
"31";"~";"~";"~";"~";"<E>";"-";"-";"-";"débecqueter";"-";"+";"-";"~";"à";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ceci lui débecquete "
