"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: se figé";"<ENT>V";"Aux =: avoir";"Aux =: être";"N0 être Vpp W";"N0 V";"N0 V Prép N1";"Prép1";"N1 =: Qu Pind";"N1 =: Qu Psubj";"Prép N1 =: Prép ce Qu P = Qu P";"N1 =: si P ou si P";"N1 =: V0-inf W";"N1 =: V2-inf W";"N1 =: de V0-inf W";"N1 =: ce(ci+la)";"Prép N1 =: Prép Qu P = Ppv";"N1 =: Nhum";"Prép N1hum = Ppv";"N1 =: N-hum";"N1 =: le fait Qu P";"Prép N1-hum = Ppv";"il être Vpp Prép N1 (E+par N0)";"N0 V Prép N2";"Prép2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: si P ou si P";"N2 =: V0-inf W";"N2 =: V1-inf W";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"Prép N2 = Prép là";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"N2 =: le fait Qu P";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"Prép N2 N0 V N1";"<OPT>"
"1";"+";"-";"-";"-";"-";"<E>";"-";"abstraire";"+";"-";"-";"-";"-";"<E>";"+";"-";"-";"-";"+";"-";"-";"+";"+";"-";"-";"+";"-";"+";"-";"-";"de";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"+";"+";"+";"-";"+";"Max a abstrait que la terre était plate de ce que les étoiles étaient fixes"
"2";"+";"-";"-";"-";"-";"s'";"+";"aider";"-";"+";"+";"-";"+";"de";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"+";"+";"+";"-";"-";"pour";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max s'aide de dictionnaires pour lire ce texte"
"3";"+";"+";"+";"-";"-";"<E>";"-";"ajouter";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"-";"-";"-";"+";"+";"-";"-";"+";"-";"+";"+";"+";"à";"-";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"+";"-";"Ceci ajoute à mon angoisse"
"4";"+";"-";"-";"-";"-";"<E>";"-";"alterner";"+";"-";"-";"-";"-";"<E>";"-";"+";"-";"-";"-";"-";"+";"+";"+";"+";"+";"+";"-";"+";"-";"-";"avec";"-";"+";"-";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"Max alterne de boire du vin et de manger de fromage"
"5";"+";"-";"-";"-";"-";"s'";"+";"apercevoir";"-";"+";"-";"-";"+";"de";"+";"-";"+";"+";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"à";"+";"-";"-";"-";"-";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"-";"Max s'aperçoit de ce que Luc le trompe à ce qu'il se cache toujours"
"6";"+";"+";"+";"+";"+";"<E>";"-";"apprendre";"+";"-";"-";"-";"+";"à";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"+";"-";"-";"-";"-";"-";"à";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"Max a appris à Luc à lire"
"7";"+";"-";"-";"-";"-";"s'";"+";"arranger";"-";"+";"-";"-";"+";"avec";"-";"-";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"+";"pour";"-";"+";"-";"-";"+";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"Max s'arrange avec Luc pour que tout fonctionne"
"8";"+";"+";"+";"-";"-";"<E>";"-";"asseoir";"+";"-";"-";"-";"-";"<E>";"+";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"sur";"+";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"+";"+";"-";"-";"-";"Max a assis que la terre tourne sur le fait que le soleil se couche"
"9";"+";"+";"+";"+";"+";"<E>";"-";"assimiler";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"à";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max assimile que Luc fasse grève à ce qu'il désobéisse"
"10";"+";"+";"+";"+";"+";"<E>";"-";"associer";"+";"-";"-";"-";"-";"<E>";"+";"+";"-";"-";"+";"-";"+";"+";"+";"+";"+";"+";"+";"+";"-";"+";"à";"+";"+";"-";"-";"+";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"-";"Max a associé le fait que Luc parte  à ce qu'il désobéisse"
