"<ID>";"N0 =: Nhum";"N0 =: Nnr";"N0 =: le fait Qu P";"N0 =: V1-inf W";"N0 =: V2-inf W";"<ENT>Ppv";"Ppv =: Neg";"<ENT>V";"Neg";"Aux =: avoir";"Aux =: être";"N0 V";"N0 V N1";"N1 =: Nhum";"N1 =: N-hum";"N0 être V-ant pour N1";"N1 se V de ce Qu P";"N1 être Vpp de ce Qu P";"N1 être Vpp par N0";"N1 être Vpp de N0";"N0 V à N2";"N2 =: Qu Pind";"N2 =: Qu Psubj";"Prép N2 =: Prép ce Qu P = Qu P";"N2 =: V0-inf W";"N2 =: V1-inf W";"N2 =: V1c-inf W";"Tc =: passé";"Tc =: futur";"N2 =: ce(ci+la)";"Prép N2 =: Prép Qu P = Ppv";"à N2 = là";"N2 =: Nhum";"Prép N2hum = Ppv";"N2 =: N-hum";"N2 =: le fait Qu P";"Prép N2-hum = Ppv";"il être Vpp Prép N2 (E+par N0)";"N1 être Vpp par N0 à ce Qu P";"N1 être Vpp de N0 à ce Qu P";"<OPT>";"<ENGLISH>"
"1";"+";"+";"+";"+";"-";"<E>";"-";"abaisser";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"+";"-";"-";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"Max a abaissé Léa à ce qu'elle demande 100 f";"to humble"
"2";"+";"+";"+";"+";"-";"<E>";"-";"abêtir";"-";"+";"-";"+";"+";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a abêti Marie à cela";"to turn into a moron"
"3";"+";"+";"+";"+";"-";"<E>";"-";"abonner";"-";"+";"-";"-";"+";"+";"-";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max a abonné Ida à recevoir des claques";"to accustom"
"4";"+";"+";"+";"+";"-";"<E>";"-";"abrutir";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max abrutit Ida à ce qu'elle fasse la vaisselle";"to drive someone stupid"
"5";"+";"+";"+";"+";"-";"<E>";"-";"absorber";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"-";"+";"-";"+";"-";"+";"-";"Max absorbe toute son énergie à faire des choses inutiles";"to take up"
"6";"+";"+";"+";"+";"+";"<E>";"-";"acclimater";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"-";"+";"+";"-";"+";"-";"+";"-";"+";"-";"+";"-";"Ces circonstances ont très vite acclimaté Max à écrire des articles";"to introduce"
"7";"+";"+";"+";"-";"+";"<E>";"-";"accorder";"-";"+";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"-";"+";"-";"-";"-";"-";"-";"-";"+";"+";"-";"+";"+";"+";"+";"+";"-";"~";"-";"Paul accorde toute son attention à ce que ce travail soit fait ce jour";"to give"
"8";"~";"~";"~";"~";"~";"<E>";"-";"accorder";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Max accorde une grande importance à travailler";"to give"
"9";"+";"+";"+";"+";"+";"<E>";"-";"accoutumer";"-";"+";"-";"+";"+";"+";"+";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"+";"-";"+";"-";"+";"+";"+";"-";"+";"-";"Paul a accoutumé Marie à se lever tôt";"to accustom"
"10";"~";"~";"~";"~";"~";"<E>";"-";"accréditer";"-";"+";"-";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"~";"Ce décret accrédite Max à représenter son pays";"?"
"11";"+";"+";"+";"+";"+";"<E>";"-";"accrocher";"-";"+";"-";"+";"+";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"-";"+";"+";"+";"+";"-";"+";"-";"+";"-";"+";"-";"Paul accroche toute son attention à survivre";"to hang on to"
"12";"+";"+";"+";"+";"-";"<E>";"-";"acculer";"-";"+";"-";"+";"+";"+";"-";"+";"-";"-";"+";"-";"+";"-";"+";"-";"-";"+";"-";"-";"+";"+";"+";"-";"-";"-";"+";"-";"-";"-";"+";"-";"Max accule Marie à faire des bêtises";"to drive someone back"
